year,month,decimal,average,average_unc,trend,trend_unc
2001,9,2001.708,1770.47,0.93,1771.08,0.48
2001,10,2001.792,1775.51,0.82,1771.11,0.46
2001,11,2001.875,1776.54,0.69,1771.16,0.45
2001,12,2001.958,1775.90,1.08,1771.24,0.44
2002,1,2002.042,1774.10,1.37,1771.33,0.43
2002,2,2002.125,1772.80,1.05,1771.44,0.43
2002,3,2002.208,1773.40,0.56,1771.57,0.43
2002,4,2002.292,1772.77,0.75,1771.73,0.45
2002,5,2002.375,1770.29,0.74,1771.91,0.47
2002,6,2002.458,1766.90,0.85,1772.12,0.49
2002,7,2002.542,1764.27,0.95,1772.36,0.51
2002,8,2002.625,1766.89,0.99,1772.65,0.53
2002,9,2002.708,1773.68,1.01,1772.97,0.55
2002,10,2002.792,1778.30,1.45,1773.34,0.56
2002,11,2002.875,1779.53,1.17,1773.77,0.56
2002,12,2002.958,1779.67,0.67,1774.23,0.55
2003,1,2003.042,1777.55,1.11,1774.75,0.54
2003,2,2003.125,1774.81,1.06,1775.27,0.53
2003,3,2003.208,1774.85,0.85,1775.82,0.52
2003,4,2003.292,1775.83,1.54,1776.40,0.51
2003,5,2003.375,1774.43,1.23,1776.97,0.51
2003,6,2003.458,1771.68,1.23,1777.52,0.52
2003,7,2003.542,1770.72,1.83,1778.03,0.53
2003,8,2003.625,1774.29,1.73,1778.48,0.55
2003,9,2003.708,1780.56,1.26,1778.84,0.57
2003,10,2003.792,1784.70,1.00,1779.11,0.59
2003,11,2003.875,1785.26,1.05,1779.28,0.60
2003,12,2003.958,1783.56,1.11,1779.33,0.61
2004,1,2004.042,1780.92,1.14,1779.26,0.61
2004,2,2004.125,1779.95,0.96,1779.08,0.61
2004,3,2004.208,1780.98,0.95,1778.80,0.60
2004,4,2004.292,1780.73,0.83,1778.42,0.59
2004,5,2004.375,1777.56,0.97,1777.97,0.58
2004,6,2004.458,1772.29,1.09,1777.47,0.58
2004,7,2004.542,1768.06,0.82,1776.93,0.57
2004,8,2004.625,1769.78,0.97,1776.38,0.57
2004,9,2004.708,1775.50,1.08,1775.86,0.57
2004,10,2004.792,1779.70,1.03,1775.38,0.57
2004,11,2004.875,1780.46,1.05,1774.96,0.57
2004,12,2004.958,1778.37,0.92,1774.61,0.57
2005,1,2005.042,1776.34,1.17,1774.35,0.56
2005,2,2005.125,1775.78,1.03,1774.17,0.55
2005,3,2005.208,1775.44,0.90,1774.08,0.55
2005,4,2005.292,1774.59,0.80,1774.06,0.54
2005,5,2005.375,1772.22,0.72,1774.10,0.54
2005,6,2005.458,1768.55,0.98,1774.18,0.54
2005,7,2005.542,1766.27,0.83,1774.30,0.55
2005,8,2005.625,1768.03,0.89,1774.43,0.55
2005,9,2005.708,1773.10,1.21,1774.55,0.55
2005,10,2005.792,1778.50,1.43,1774.66,0.55
2005,11,2005.875,1781.21,0.75,1774.74,0.54
2005,12,2005.958,1780.28,1.25,1774.78,0.53
2006,1,2006.042,1779.56,0.94,1774.79,0.51
2006,2,2006.125,1779.46,0.78,1774.78,0.49
2006,3,2006.208,1777.38,0.81,1774.75,0.48
2006,4,2006.292,1776.15,0.64,1774.72,0.47
2006,5,2006.375,1774.97,0.93,1774.71,0.46
2006,6,2006.458,1769.29,1.34,1774.73,0.47
2006,7,2006.542,1764.19,1.26,1774.81,0.48
2006,8,2006.625,1767.20,1.20,1774.96,0.49
2006,9,2006.708,1774.55,1.38,1775.19,0.51
2006,10,2006.792,1778.24,0.88,1775.51,0.53
2006,11,2006.875,1779.05,0.78,1775.91,0.55
2006,12,2006.958,1779.94,0.82,1776.41,0.57
2007,1,2007.042,1779.18,1.07,1777.00,0.58
2007,2,2007.125,1778.56,1.16,1777.62,0.59
2007,3,2007.208,1780.29,1.01,1778.29,0.59
2007,4,2007.292,1781.14,1.13,1779.01,0.59
2007,5,2007.375,1779.42,1.48,1779.75,0.59
2007,6,2007.458,1775.60,1.24,1780.48,0.59
2007,7,2007.542,1772.62,1.11,1781.20,0.58
2007,8,2007.625,1777.19,1.43,1781.90,0.58
2007,9,2007.708,1785.87,1.41,1782.55,0.58
2007,10,2007.792,1789.86,1.07,1783.16,0.58
2007,11,2007.875,1789.51,0.91,1783.74,0.59
2007,12,2007.958,1788.18,0.98,1784.28,0.59
2008,1,2008.042,1786.71,0.93,1784.81,0.60
2008,2,2008.125,1785.79,1.04,1785.30,0.60
2008,3,2008.208,1786.17,1.36,1785.79,0.60
2008,4,2008.292,1786.91,1.24,1786.29,0.60
2008,5,2008.375,1785.19,0.97,1786.80,0.59
2008,6,2008.458,1780.46,0.87,1787.33,0.57
2008,7,2008.542,1777.66,0.97,1787.88,0.55
2008,8,2008.625,1781.04,0.96,1788.46,0.53
2008,9,2008.708,1787.66,0.99,1789.03,0.50
2008,10,2008.792,1793.69,0.74,1789.62,0.48
2008,11,2008.875,1797.30,1.08,1790.20,0.46
2008,12,2008.958,1796.60,0.98,1790.77,0.45
2009,1,2009.042,1795.08,0.76,1791.33,0.46
2009,2,2009.125,1795.58,1.06,1791.84,0.49
2009,3,2009.208,1795.98,1.05,1792.31,0.52
2009,4,2009.292,1795.58,0.88,1792.77,0.55
2009,5,2009.375,1792.33,0.75,1793.20,0.59
2009,6,2009.458,1786.90,0.89,1793.59,0.63
2009,7,2009.542,1784.98,1.09,1793.95,0.66
2009,8,2009.625,1788.83,0.97,1794.29,0.67
